,Rank,Name,Gender,Age,Finish,Pace,Strava Activity,athlet_url,race_url,Watch,Shoes,Distance
2545,2545,Slow Moe,F,45-54,3:47:37,5:24/km,2016 BOSTON MARATHON,/athletes/4887281,/activities/563705655,Garmin Forerunner 210,ASICS Tri Noosa 9(106.2 km),42.65
2546,2546,Kate McGowan,F,35-44,3:47:40,5:24/km,Boston marathon with a 1 mile run back,/athletes/2323304,/activities/549476855,Garmin Forerunner 620,Brooks Launch(719.0 km),43.65
2547,2547,Mark Humphrey,M,55-64,3:47:41,5:24/km,Boston Marathon,/athletes/11884220,/activities/549426596,Strava iPhone App,—,42.74
2548,2548,Peter Pommerenk,M,45-54,3:47:44,5:24/km,"04/18/2016 Boston, MA",/athletes/319067,/activities/549562736,Garmin Forerunner 210,—,42.62
2549,2549,Alice F.,F,45-54,3:47:44,5:24/km,Morning Run,/athletes/2022429,/activities/552417350,Garmin Forerunner 920XT,"Brooks Ravenna(1,016.9 km)",42.62
2550,2550,Sheri P.,F,25-34,3:47:46,5:24/km,Morning Run,/athletes/3625565,/activities/577494795,Soleus GPS,—,42.89
2551,2551,Missy N.,F,35-44,3:47:52,5:24/km,Crash and burn in Boston!,/athletes/14405035,/activities/551218212,Suunto Ambit2 S,—,42.73
2552,2552,Jodi #Gynomite S.,F,45-54,3:47:59,5:24/km,Lunch Run freaking Boston,/athletes/7436201,/activities/549481212,Strava iPhone App,—,43.76
2553,2553,Tom Varick,M,,3:48:01,5:24/km,Boston Marathon,/athletes/9041443,/activities/549531154,Garmin Forerunner 25,Nike LunarTempo(717.9 km),42.6
2554,2554,Alison R.,F,45-54,3:48:04,5:24/km,Morning Run,/athletes/9625793,/activities/549681780,Garmin Vívoactive,—,42.52
2555,2555,Kristie P.,F,45-54,3:48:05,5:24/km,Morning Run,/athletes/5232981,/activities/614692439,Garmin Forerunner 210,—,42.55
2556,2556,Chrissy Proctor,F,25-34,3:48:06,5:24/km,Boston Marathon- Heat Stroke City- Nausea...,/athletes/4414328,/activities/549599728,Garmin Forerunner 220,Brooks Ravenna(593.1 km),42.57
2557,2557,Katie Davenport,F,35-44,3:48:06,5:24/km,Morning Run,/athletes/413507,/activities/562944192,Garmin Forerunner 620,—,42.62
2558,2558,Tim McAboy,M,45-54,3:48:06,5:24/km,Morning Run,/athletes/21860689,/activities/988017371,Garmin Vívoactive,—,42.45
2559,2559,Walt Yarrow,M,45-54,3:48:08,5:24/km,"Not my best, but probably my favorite. #B...",/athletes/203060,/activities/551509637,Garmin Forerunner 620,HOKA ONE ONE Clayton Red(434.4 km),42.5
2560,2560,Melissa D.,F,45-54,3:48:09,5:24/km,Boston Marathon,/athletes/7414421,/activities/551123068,Garmin Vívoactive,"HOKA ONE ONE Huaka Pink(1,017.6 km)",42.46
2561,2561,Marie-Josée Hotte,F,,3:48:09,5:24/km,Marathon de Boston,/athletes/4610982,/activities/553735143,Suunto Ambit3 Sport,Altra Intuition 3.5(525.0 km),42.58
2562,2562,Eric Brindle,M,,3:48:12,5:24/km,Morning Run,/athletes/7692581,/activities/607096113,Garmin Forerunner 210,—,42.5
2563,2563,Kevin Walter,M,45-54,3:48:13,5:25/km,Boston marathon. Rolling your ankle early...,/athletes/1993907,/activities/550119813,Suunto Ambit3 Sport,—,42.81
2564,2564,Steve Jensen,M,45-54,3:48:16,5:25/km,Boston Marathon,/athletes/4113570,/activities/549494386,Garmin fēnix 3,—,42.71
2565,2565,Elizabeth C.,F,35-44,3:48:19,5:25/km,The Boston Marathon,/athletes/7971723,/activities/549636486,Garmin Forerunner 220,—,42.51
2566,2566,Renee Laurencelle,F,,3:48:19,5:25/km,the big BM,/athletes/9733598,/activities/551929411,Garmin Forerunner 10,—,42.71
2567,2567,Trent Blackley,M,,3:48:20,5:25/km,Morning Run,/athletes/13149580,/activities/550269324,Garmin Vívoactive,—,42.38
2568,2568,Greg Mattiko,M,45-54,3:48:23,5:25/km,Ouch!,/athletes/4984180,/activities/549595748,Garmin Forerunner 620,—,42.4
2569,2569,Rachael A.,F,,3:48:26,5:25/km,Morning Run,/athletes/7212652,/activities/555756168,Garmin Forerunner 620,—,42.56
2570,2570,Emily S.,F,25-34,3:48:27,5:25/km,Morning Run,/athletes/11854486,/activities/549799052,TomTom,—,42.5
2571,2571,Robyn Hamilton,F,,3:48:29,5:25/km,Morning Run,/athletes/13739270,/activities/556697039,Garmin Vívoactive,—,42.21
2572,2572,Simon Shurey,M,45-54,3:48:30,5:25/km,Lunch Run,/athletes/770476,/activities/549742935,Garmin Forerunner 920XT,—,42.51
2573,2573,Renah Seay,F,35-44,3:48:30,5:25/km,Morning Run,/athletes/9276484,/activities/566903713,Garmin Forerunner 230,—,42.47
2574,2574,Larry  Mullinnix,M,55-64,3:48:31,5:25/km,Boston Marathon,/athletes/4712440,/activities/549784926,Garmin Forerunner 920XT,"HOKA ONE ONE Clifton 2(1,231.9 km)",42.44
2575,2575,Georgia Izard,F,25-34,3:48:32,5:25/km,Trying not to pass out Boston Marathon,/athletes/3289849,/activities/549544797,Garmin Forerunner 220,—,42.43
2576,2576,Marc Laliberté,M,,3:48:38,5:25/km,Morning Run,/athletes/10045755,/activities/550084631,Garmin Forerunner 310XT,—,42.68
2577,2577,Kyle Robinson,M,25-34,3:48:39,5:25/km,Boston Marathon,/athletes/306830,/activities/553024016,Garmin Forerunner 220,HOKA ONE ONE Clayton(274.5 km),42.52
2578,2578,Jeremy N.,M,35-44,3:48:40,5:25/km,Boston Marathon (3:48:21),/athletes/900687,/activities/549491602,Strava iPhone App,Brooks Launch(549.9 km),43.21
2579,2579,Michael Le Houllier,M,45-54,3:48:42,5:25/km,2016 Boston Marathon,/athletes/2774658,/activities/551882062,Garmin Forerunner 910XT,"adidas boost(1,234.9 km)",42.5
2580,2580,Sean Ring,M,35-44,3:48:45,5:25/km,2016 Boston Marathon - Not My Day!,/athletes/120061,/activities/549552021,Garmin Forerunner 220,—,42.51
2581,2581,Alex McDonald,M,,3:48:45,5:25/km,Morning Run,/athletes/9976145,/activities/549648359,Garmin Forerunner 620,—,42.47
2582,2582,Miriam Kaufman,F,35-44,3:48:46,5:25/km,Boston Marathon,/athletes/2271645,/activities/551260010,Garmin Forerunner 210,ASICS Kayano 22 purple(766.2 km),42.67
2583,2583,Phil Whitehurst,M,45-54,3:48:47,5:25/km,Boston Marathon 2016 - The big one! Oh oh...,/athletes/7513797,/activities/550271019,Garmin Forerunner 310XT,"Saucony Kinvara Runshield(5,839.9 km)",42.66
2584,2584,Rachel <U+24CB>.,F,25-34,3:48:52,5:25/km,Boston Marathon,/athletes/4381890,/activities/549592279,Garmin fēnix 3,—,42.71
2585,2585,Kim Orosz,F,,3:48:56,5:26/km,Morning Run,/athletes/12334240,/activities/557982950,Garmin Vívoactive,—,42.38
2586,2586,Kim Orosz,,,3:48:56,5:26/km,Morning Run,/athletes/14916987,/activities/566757901,Garmin Vívoactive,—,42.38
2587,2587,Mitchell Rippy,M,55-64,3:48:58,5:26/km,BOSTON,/athletes/1483103,/activities/550319225,Garmin Forerunner 210,—,42.66
2588,2588,Becca Ormond,F,35-44,3:48:59,5:26/km,Morning Run,/athletes/19229000,/activities/824724043,Garmin Forerunner 220,—,42.61
2589,2589,Spidey Nguy<U+1EC5>n,M,45-54,3:49:02,5:26/km,"Boston 2016 - another attempt, another fa...",/athletes/3539874,/activities/551435573,Garmin Forerunner 405,Newton Distance 3(663.9 km),42.22
2590,2590,Jasper Rosmulder | Tri-Team Numaga,M,35-44,3:49:03,5:26/km,120ste Boston Marathon,/athletes/1897434,/activities/551060496,Garmin fēnix 2,Saucony Triumph 11(307.6 km),43.32
2591,2591,Sarah I.,F,,3:49:04,5:26/km,I hated it.,/athletes/7995432,/activities/551949466,Garmin Forerunner 110,New Balance 890(817.0 km),42.48
2592,2592,Kathryn E.,F,,3:49:06,5:26/km,Morning Run,/athletes/4228271,/activities/550680660,Garmin Forerunner 610,—,42.78
2593,2593,Barbara Knauff,F,45-54,3:49:08,5:26/km,2016-04-18 Boston marathon,/athletes/598484,/activities/549576229,Strava iPhone App,—,42.94
2594,2594,Stewart E.,M,35-44,3:49:09,5:26/km,2016 Boston Marathon,/athletes/680729,/activities/551522654,Garmin Forerunner 620,—,42.5
2595,2595,Mike Reinhardt,,,3:49:09,5:26/km,2016 Boston Marathon,/athletes/4193131,/activities/552629493,Soleus GPS,—,42.94
2596,2596,Greg Oliver,M,45-54,3:49:10,5:26/km,Morning Run,/athletes/13007894,/activities/551655482,Garmin Forerunner 10,"HOKA ONE ONE Vanquish 2(1,080.7 km)",42.56
2597,2597,Christa Y.,F,45-54,3:49:13,5:26/km,BOSTON MARATHON!!,/athletes/2415542,/activities/552141774,Garmin Forerunner 910XT,Mizuno Wave Rider 17(486.2 km),42.71
2598,2598,Eliot Lee,M,55-64,3:49:18,5:26/km,4/18/16  Boston Marathon ...,/athletes/3795460,/activities/549758652,Garmin Forerunner 310XT,—,42.78
2599,2599,Ana Lucia Rozza,F,45-54,3:49:18,5:26/km,Corrida matinal,/athletes/15105438,/activities/574022953,Garmin Forerunner 220,—,42.55
2600,2600,J-m Lbrunet,,,3:49:18,5:26/km,Marathon de Boston,/athletes/17220767,/activities/1598374887,Suunto Ambit2 R,—,42.57
2601,2601,Rachel J.,F,25-34,3:49:20,5:26/km,Boston Marathon!!!!,/athletes/7415190,/activities/549664014,Suunto Ambit3 Sport,New Balance Vongos(791.0 km),42.55
2602,2602,Charlotte Lorenzen,F,45-54,3:49:20,5:26/km,Morning Run,/athletes/5430847,/activities/555419535,Garmin Forerunner 305,"HOKA ONE ONE(1,111.3 km)",42.64
2603,2603,Ron S.,M,45-54,3:49:21,5:26/km,Boston,/athletes/6586311,/activities/549598711,Garmin Forerunner 920XT,—,42.48
2604,2604,Edgar Mejia,M,,3:49:21,5:26/km,Morning Run,/athletes/11825648,/activities/550238441,TomTom,"ASICS Gel Nimbus(2,420.8 km)",42.47
2605,2605,Joe Hultgren,M,,3:49:21,5:26/km,Morning Run,/athletes/13821738,/activities/551825183,Garmin Forerunner 620,—,42.41
2606,2606,David C.,M,45-54,3:49:21,5:26/km,Morning Run,/athletes/3045456,/activities/557037245,Garmin fēnix 3,—,42.69
2607,2607,Emily Borden,F,,3:49:25,5:26/km,Great lead out for triathlon season!,/athletes/3302710,/activities/550093915,Garmin Forerunner 220,"On Cloud Racer(15,397.4 km)",42.48
2608,2608,Laura Kucharczyk,F,,3:49:25,5:26/km,Morning Run,/athletes/13931910,/activities/570168945,Garmin Forerunner 920XT,—,42.24
2609,2609,Christine P.,F,45-54,3:49:26,5:26/km,Boston Marathon - Unfortunately stopped r...,/athletes/12494115,/activities/550151781,Garmin Forerunner 910XT,"Newton Gravity IV's(1,431.2 km)",42.63
2610,2610,Frank Powers,M,35-44,3:49:33,5:26/km,Morning Run,/athletes/5133467,/activities/549680847,Garmin fēnix 3,—,42.83
